issue,quotation_bucket,championship_id,score,matches,forecasts,score_forecasts,player_weighted_share,match_weighted_share,ci95_low,ci95_high
away,120-150,1,2-3,78,950,23,0.024210526315789474,0.020448010892901068,0.007905991270448704,0.03299003051535343
away,120-150,6,0-3,39,483,6,0.012422360248447204,0.013968723584108198,0.0,0.028754696196769958
away,120-150,9,1-3,9,173,4,0.023121387283236993,0.011633638962831509,0.0,0.026991703575977886
away,120-150,6,2-4,39,483,10,0.020703933747412008,0.011451796067180683,0.0009443732168931736,0.021959218917468194
away,120-150,6,3-4,39,483,5,0.010351966873706004,0.009725459725459726,0.0,0.021480349349482467
away,120-150,1,2-10,78,950,1,0.0010526315789473684,0.00641025641025641,0.0,0.018974358974358972
away,120-150,1,0-3,78,950,10,0.010526315789473684,0.005103696870794092,0.00033215186085348587,0.009875241880734697
away,120-150,6,1-4,39,483,3,0.006211180124223602,0.003837188452573068,0.0,0.008492201217219242
away,120-150,6,2-8,39,483,1,0.002070393374741201,0.003205128205128205,0.0,0.00948717948717949
away,120-150,1,1-8,78,950,1,0.0010526315789473684,0.0016025641025641025,0.0,0.004743589743589743
away,120-150,1,4-5,78,950,1,0.0010526315789473684,0.0008012820512820513,0.0,0.0023717948717948715
away,120-150,6,0-5,39,483,1,0.002070393374741201,0.0005827505827505828,0.0,0.001724941724941724
away,120-150,6,3-5,39,483,1,0.002070393374741201,0.0005827505827505828,0.0,0.001724941724941724
away,120-150,1,3-5,78,950,1,0.0010526315789473684,0.00032873109796186715,0.0,0.0009730440499671272
away,120-150,1,3-4,78,950,1,0.0010526315789473684,0.0002981514609421586,0.0,0.0008825283243887908
away,120-150,1,2-4,78,950,1,0.0010526315789473684,0.0002465483234714004,0.0,0.0007297830374753459
away,120-150,1,1-4,78,950,1,0.0010526315789473684,0.00022893772893772894,0.0,0.0006776556776556769
away,150-1000,9,0-1,8,40,22,0.55,0.6256944444444443,0.45366209166964044,0.7977267972192482
away,150-1000,1,1-2,44,248,108,0.43548387096774194,0.46817544828908453,0.3772759761724882,0.5590749204056809
away,150-1000,6,1-2,39,237,115,0.48523206751054854,0.45210442804645706,0.35595229700953285,0.5482565590833812
away,150-1000,1,0-1,44,248,102,0.4112903225806452,0.3852808176671813,0.2905767214501662,0.4799849138841964
away,150-1000,9,1-2,8,40,13,0.325,0.22083333333333333,0.0817257610496267,0.35994090561703995
away,150-1000,6,0-1,39,237,51,0.21518987341772153,0.19643998513563732,0.12209711231774614,0.2707828579535285
away,150-1000,6,0-2,39,237,37,0.15611814345991562,0.18790760500905426,0.09720556608246562,0.2786096439356429
away,150-1000,9,2-3,8,40,3,0.075,0.11805555555555555,0.0,0.25210945341333585
away,150-1000,6,2-3,39,237,12,0.05063291139240506,0.07716456383123049,0.01648084076317357,0.1378482868992874
away,150-1000,1,1-3,44,248,11,0.04435483870967742,0.0661568229750048,0.011005212024365059,0.12130843392564455
away,150-1000,1,0-2,44,248,18,0.07258064516129033,0.05050694255239709,0.019342479350491527,0.08167140575430265
away,150-1000,9,0-2,8,40,2,0.05,0.035416666666666666,0.0,0.08573571817247752
away,150-1000,6,1-3,39,237,13,0.05485232067510549,0.0339485527891325,0.004647568781299974,0.06324953679696503
away,150-1000,6,0-3,39,237,6,0.02531645569620253,0.026793839547462735,0.0,0.05687673175791598
away,150-1000,6,3-8,39,237,2,0.008438818565400843,0.019230769230769232,0.0,0.04702765528453985
away,150-1000,1,2-3,44,248,7,0.028225806451612902,0.017253705890069526,0.003480374751704705,0.031027037028434346
away,150-1000,1,2-8,44,248,1,0.004032258064516129,0.011363636363636364,0.0,0.03363636363636363
away,150-1000,6,0-6,39,237,1,0.004219409282700422,0.00641025641025641,0.0,0.01897435897435898
away,150-1000,1,0-3,44,248,1,0.004032258064516129,0.0012626262626262625,0.0,0.003737373737373737
draw,100-120,9,1-1,29,1105,803,0.7266968325791855,0.7166330131993877,0.6770753729398764,0.7561906534588989
draw,100-120,1,1-1,161,4381,2746,0.6267975348094043,0.6364801597206875,0.6184076635668331,0.6545526558745419
draw,100-120,6,1-1,59,997,590,0.5917753259779338,0.613952767994969,0.5729835884621539,0.6549219475277841
draw,100-120,6,2-2,59,997,301,0.30190571715145437,0.29213798799212215,0.25200915672679225,0.33226681925745205
draw,100-120,1,0-0,161,4381,915,0.20885642547363614,0.18214194604564998,0.16244040187838396,0.201843490212916
draw,100-120,1,2-2,161,4381,697,0.15909609678155673,0.1745773070670724,0.15626050082620693,0.19289411330793785
draw,100-120,9,0-0,29,1105,187,0.16923076923076924,0.15151305665642195,0.11823716599248715,0.18478894732035675
draw,100-120,9,2-2,29,1105,112,0.10135746606334842,0.1279688466531118,0.08500310328943816,0.17093459001678546
draw,100-120,6,0-0,59,997,97,0.09729187562688064,0.08646659680743662,0.059539142575109366,0.11339405103976388
draw,100-120,6,3-3,59,997,8,0.00802407221664995,0.007122851874484075,0.0010570810661364328,0.013188622682831717
draw,100-120,1,3-3,161,4381,23,0.005249942935402876,0.006800587166590312,0.003336816655720405,0.01026435767746022
draw,100-120,9,3-3,29,1105,3,0.0027149321266968325,0.0038850834910784562,0.0,0.008313175804064567
draw,100-120,6,4-4,59,997,1,0.0010030090270812437,0.00031979533098816753,0.0,0.0009465941797249757
draw,120-150,1,1-1,132,1986,1325,0.6671701913393756,0.6933156948472691,0.6641264552282734,0.7225049344662647
draw,120-150,9,1-1,21,440,318,0.7227272727272728,0.6884081650100091,0.6346523610776585,0.7421639689423597
draw,120-150,6,1-1,107,998,534,0.5350701402805611,0.5367413412445743,0.4864958222749017,0.586986860214247
draw,120-150,6,2-2,107,998,351,0.3517034068136273,0.38220214833748,0.3291207018804859,0.4352835947944741
draw,120-150,9,0-0,21,440,84,0.19090909090909092,0.18917132869480713,0.12960294977645254,0.24873970761316172
draw,120-150,1,2-2,132,1986,366,0.18429003021148035,0.16713433529907207,0.14286511750452038,0.19140355309362375
draw,120-150,1,0-0,132,1986,286,0.14400805639476336,0.13535368463421965,0.11408022275085522,0.15662714651758408
draw,120-150,9,2-2,21,440,38,0.08636363636363636,0.12242050629518365,0.07641600417598532,0.168425008414382
draw,120-150,6,0-0,107,998,84,0.0841683366733467,0.0670304056269613,0.04569162293327987,0.08836918832064274
draw,120-150,6,3-3,107,998,28,0.028056112224448898,0.013780162833286296,0.004265849627237925,0.02329447603933467
draw,120-150,1,3-3,132,1986,9,0.004531722054380665,0.004196285219439161,0.0,0.008537063918368277
draw,120-150,6,4-4,107,998,1,0.001002004008016032,0.00024594195769798326,0.0,0.0007279881947860302
draw,150-1000,1,1-1,12,134,94,0.7014925373134329,0.7164381914381915,0.6290592954356076,0.8038170874407755
draw,150-1000,6,1-1,18,59,39,0.6610169491525424,0.6402717652717652,0.468374533393195,0.8121689971503354
draw,150-1000,9,1-1,1,6,3,0.5,0.5,0.5,0.5
draw,150-1000,9,2-2,1,6,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
draw,150-1000,6,2-2,18,59,17,0.288135593220339,0.318963443963444,0.14183431904055527,0.49609256888633274
draw,150-1000,9,0-0,1,6,1,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
draw,150-1000,1,2-2,12,134,26,0.19402985074626866,0.14709595959595959,0.05676767676767676,0.23742424242424243
draw,150-1000,1,0-0,12,134,14,0.1044776119402985,0.13646584896584893,0.0633317641356291,0.20959993379606875
draw,150-1000,6,3-3,18,59,1,0.01694915254237288,0.027777777777777776,0.0,0.08222222222222222
draw,150-1000,6,0-0,18,59,2,0.03389830508474576,0.012987012987012986,0.0,0.03092717773414739
home,0-40,9,2-0,3,275,89,0.3236363636363636,0.3241512625347348,0.2377866950897698,0.4105158299796998
home,0-40,6,2-0,24,2229,613,0.2750112157918349,0.2780434431420406,0.24777575258611992,0.3083111336979613
home,0-40,1,2-0,21,1783,426,0.23892316320807627,0.23879049234411198,0.20073458940416788,0.2768463952840561
home,0-40,6,3-0,24,2229,492,0.22072678331090176,0.21759932734224308,0.18790373660248152,0.24729491808200463
home,0-40,1,3-0,21,1783,386,0.21648906337633203,0.20941022571773382,0.1679248586912966,0.250895592744171
home,0-40,1,1-0,21,1783,332,0.1862030286034773,0.18758600588926844,0.16675676354782967,0.2084152482307072
home,0-40,9,2-1,3,275,47,0.1709090909090909,0.17103620474406991,0.09148308767403215,0.25058932181410765
home,0-40,9,3-1,3,275,46,0.16727272727272727,0.16664653054649428,0.12067782716487856,0.21261523392811
home,0-40,9,3-0,3,275,41,0.14909090909090908,0.14953082839998388,0.07633802006751908,0.2227236367324487
home,0-40,1,3-1,21,1783,227,0.12731351654514864,0.13065268165765764,0.10522545926679476,0.1560799040485205
home,0-40,6,3-1,24,2229,271,0.12157918349035442,0.12121295842804197,0.10033138956914342,0.14209452728694053
home,0-40,1,2-1,21,1783,150,0.08412787436904094,0.0916023039651668,0.05544949133782826,0.12775511659250535
home,0-40,6,4-0,24,2229,195,0.08748317631224764,0.08516952580282959,0.06432108657052586,0.10601796503513332
home,0-40,6,2-1,24,2229,175,0.07851054284432481,0.0809668683503718,0.05809627609021897,0.10383746061052462
home,0-40,9,1-0,3,275,22,0.08,0.08014175828601346,0.06467319095832949,0.09561032561369742
home,0-40,9,4-0,3,275,17,0.06181818181818182,0.06157625548709275,0.03710569647026726,0.08604681450391824
home,0-40,6,4-1,24,2229,137,0.061462539255271426,0.060815118317894996,0.04603162679505033,0.07559860984073967
home,0-40,6,1-0,24,2229,111,0.04979811574697174,0.053354884756433796,0.03085060478106526,0.07585916473180233
home,0-40,1,4-0,21,1783,90,0.050476724621424565,0.04795365194766665,0.02461932270680937,0.07128798118852393
home,0-40,6,5-0,24,2229,92,0.04127411395244504,0.04009706825437074,0.026674495640058242,0.05351964086868324
home,0-40,1,4-1,21,1783,70,0.03925967470555244,0.037979808881411524,0.0272371873504136,0.04872243041240945
home,0-40,9,4-1,3,275,6,0.02181818181818182,0.021666465305464944,0.0,0.0537575086809451
home,0-40,1,5-0,21,1783,36,0.020190689848569827,0.019013100243490934,0.0058555191659010325,0.032170681321080835
home,0-40,9,3-2,3,275,5,0.01818181818181818,0.01808223591478394,0.004187233228150877,0.031977238601417005
home,0-40,6,5-1,24,2229,39,0.017496635262449527,0.01697344937650241,0.009437807934862036,0.024509090818142787
